"source_id","n_rows_whole","n_rows_particles","pmcid","link","license","verification_sources","citation"
"SRC_0018","2","10","","https://lib.tums.ac.ir/site/catalogue/197815","CC BY 4.0","Written permission, 22 July 2026; TUMS catalogue","Formulation of parathyroid hormone using spray freeze drying to prepare a dry powder inhaler. Narges Poursina. PhD dissertation, Tehran University of Medical Sciences, Faculty of Pharmacy, 1394–1395."
"SRC_0019","2","0","","https://doi.org/10.14356/hptf.18506","CC BY 2.1 JP","Source document; Crossref; PubMed Central; OpenAlex","Preparation and Evaluation of Enhanced Alveoli-delivery Dry Powder Inhaler Formulations. Jun Yee TSE et al. (2020). Hosokawa Powder Technology Foundation ANNUAL REPORT."
"SRC_0020","2","0","PMC7757990","https://doi.org/10.22037/ijpr.2019.15208.12963","CC BY 3.0","PubMed Central; Journal policy","Preparation, Statistical Optimization and In-vitro Characterization of a Dry Powder Inhaler (DPI) Containing Solid Lipid Nanoparticles Encapsulating Amphotericin B: Ion Paired Complexes with Distearoyl Phosphatidylglycerol. Mehrabani Yeganeh E (2020). Iranian journal of pharmaceutical research : IJPR."
"SRC_0021","4","22","PMC7356266","https://doi.org/10.3390/pharmaceutics12060535","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Development of an Innovative, Carrier-Based Dry Powder Inhalation Formulation Containing Spray-Dried Meloxicam Potassium to Improve the In Vitro and In Silico Aerodynamic Properties. Edit Benke et al. (2020). Pharmaceutics."
"SRC_0022","5","3","PMC7822152","https://doi.org/10.3390/pharmaceutics13010009","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Development and Evaluation of Paclitaxel and Curcumin Dry Powder for Inhalation Lung Cancer Treatment. Wing-Hin Lee et al. (2020). Pharmaceutics."
"SRC_0023","16","30","PMC7824383","https://doi.org/10.3390/pharmaceutics13010026","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Organic Solution Advanced Spray-Dried Microparticulate/Nanoparticulate Dry Powders of Lactomorphin for Respiratory Delivery: Physicochemical Characterization, In Vitro Aerosol Dispersion, and Cellular Studies. Wafaa Alabsi et al. (2020). Pharmaceutics."
"SRC_0024","3","5","PMC7760073","https://doi.org/10.3390/pharmaceutics12121154","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Development of High Dose Oseltamivir Phosphate Dry Powder for Inhalation Therapy in Viral Pneumonia. Shahir Aziz et al. (2020). Pharmaceutics."
"SRC_0026","4","20","PMC8043385","https://doi.org/10.1371/journal.pone.0249683","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Puerarin dry powder inhaler formulations for pulmonary delivery: Development and characterization. Md Abdur Rashid et al. (2021). PLOS ONE."
"SRC_0027","6","15","PMC8699692","https://doi.org/10.1371/journal.pone.0261720","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Inhaled ciprofloxacin-loaded poly(2-ethyl-2-oxazoline) nanoparticles from dry powder inhaler formulation for the potential treatment of lower respiratory tract infections. Mohammad Zaidur Rahman Sabuj et al. (2021). PLOS ONE."
"SRC_0028","1","16","","https://doi.org/10.1016/j.ijpharm.2022.121758","CC BY 4.0","Source document; Crossref; PubMed Central; OpenAlex","Leucine improves the aerosol performance of dry powder inhaler formulations of siRNA-loaded nanoparticles. You Xu et al. (2022). International Journal of Pharmaceutics."
